rankingOfMovie	Year	votes	metascore	movieName
212	1996	663132	83	Trainspotting
205	2000	234220	83	Amores_perros
19	1980	1222758	82	Star_Wars:_Episode_V_-_The_Empire_Strikes_Back
14	1994	1941394	82	Forrest_Gump
201	2003	164706	82	Memories_of_Murder
138	2004	345017	82	Downfall
62	2017	449701	81	Coco
63	2012	1454518	81	Django_Unchained
185	2019	348224	81	Ford_v_Ferrari
48	1968	318181	80	Once_Upon_a_Time_in_the_West
45	1988	249201	80	Cinema_Paradiso
2	1994	2515762	80	The_Shawshank_Redemption
70	2000	1184128	80	Memento
139	2004	366078	80	Howl's_Moving_Castle
127	2009	203213	80	The_Secret_in_Their_Eyes
86	2010	166777	80	Incendies
218	1989	457898	79	Dead_Poets_Society
97	1992	970977	79	Reservoir_Dogs
206	2001	863317	79	Monsters,_Inc.
23	2002	729710	79	City_of_God
199	2004	346603	79	Hotel_Rwanda
180	2014	926047	79	Gone_Girl
57	2016	234828	79	Your_Name.
227	1980	233182	78	The_Elephant_Man
222	1984	101352	78	Paris,_Texas
64	2012	1602742	78	The_Dark_Knight_Rises
124	2016	68216	78	A_Silent_Voice:_The_Movie
60	2019	984371	78	Avengers:_Endgame
83	2019	518278	78	1917
108	1971	795715	77	A_Clockwork_Orange
229	1979	386145	77	Life_of_Brian
219	1987	414569	77	The_Princess_Bride
41	1995	1041621	77	The_Usual_Suspects
215	1995	291507	77	Before_Sunrise
94	1997	71594	77	Children_of_Heaven
69	2003	549858	77	Oldboy
84	2012	310146	77	The_Hunt
178	2014	189591	77	Wild_Tales
176	2017	704205	77	Logan
98	1987	710376	76	Full_Metal_Jacket
145	1995	619049	76	Heat
71	1997	371611	76	Princess_Mononoke
166	1954	169066	75	Dial_M_for_Murder
101	1984	335091	75	Once_Upon_a_Time_in_America
220	1986	384651	75	Stand_by_Me
44	1991	1047453	75	Terminator_2:_Judgment_Day
204	2002	907766	75	Catch_Me_If_You_Can
194	2010	703537	75	How_to_Train_Your_Dragon
132	2013	1295702	75	The_Wolf_of_Wall_Street
55	2018	79461	75	Capernaum
184	2013	459118	74	Rush
